Title,Variety,Appelation,Rating,Price
L'original French Kiss 2015 Chardonnay (Vin de France), Vin de France, Provence, 83, 12
L'original French Kiss NV Cabernet Sauvignon (Vin de France), Vin de France, Provence, 81, 11
Château Couhins 2013  Pessac-Léognan, Château Couhins 2013  Pessac-Léogna, France Other, 91, /A
Château des Fougères 2012 Clos Montesquieu  (Graves), Graves, France Other, 87, 36
Domaine Charles Baur 2013 Cuvée Charles Riesling (Alsace), Alsace, France Other, 90, 19
Domaine Charles Baur 2013 Fronenberg Gewurztraminer (Alsace), Alsace, France Other, 90, 22
Domaine Charles Baur 2013 Pinot Gris (Alsace), Alsace, France Other, 89, 19
Canard-Duchêne NV Charles VII Grande Cuvée de la Rosé Brut  (Champagne), Champagne, France Other, 90, 60
Robert Perroud 2014  Beaujolais-Villages, Robert Perroud 2014  Beaujolais-Village, Beaujolais, 88, 18
Georges Duboeuf 2014 Domaine de Lafayette  (Brouilly), Brouilly, Beaujolais, 87, /A
Luc Mérat NV La Diva Brut  (Champagne), Champagne, Beaujolais, 85, 60
Luc Mérat NV La Diva Rosé Brut  (Champagne), Champagne, Beaujolais, 85, 60
Château de Marsan 2013  Cadillac Côtes de Bordeaux, Château de Marsan 2013  Cadillac Côtes de Bordeau, Champagne, 87, 18
Château Les Bertrands 2014 Cuvée Prestige  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Champagne, 87, /A
Château Labesse 2012  Castillon Côtes de Bordeaux, Château Labesse 2012  Castillon Côtes de Bordeau, Champagne, 85, /A
Alliance Loire 2014 Les Ligériens  (Rosé d'Anjou), Rosé d'Anjou, Champagne, 84, 12
Château Tour Saint-Germain 2012 Excellence  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Bordeaux, 84, 28
Château Dina 2013  Castillon Côtes de Bordeaux, Château Dina 2013  Castillon Côtes de Bordeau, Bordeaux, 82, 14
My Essential 2014 French Rosé (Mediterranée), Mediterranée, Bordeaux, 86, 13
Château Lamartine 2011 Expression  (Cahors), Cahors, Bordeaux, 93, 42
Domaine du Cros 2014 Lo Sang del Païs  (Marcillac), Marcillac, Bordeaux, 87, 16
La Vieille Ferme 2013 Rosé (Ventoux), Ventoux, Bordeaux, 85, 9
Bailli de Provence 2014 Rosé (Côtes de Provence), Côtes de Provence, Loire Valley, 86, 15
Château du Rouët 2014 Vrac Rosé (Côtes de Provence), Côtes de Provence, Loire Valley, 84, 11
Château Dassault 2010 Le D de Dassault  (Saint-Émilion), Saint-Émilion, Bordeaux, 92, 40
Union de Producteurs de Lugon 2012 No 2 et No 5 de Francarney  (Fronsac), Fronsac, Bordeaux, 85, 17
Xavier Flouret 2013 Domaine la Gemière French Blonde  (Sancerre), Sancerre, Bordeaux, 88, 23
Château Brethous 2012 Cuvée Prestige  (Cadillac Côtes de Bordeaux), Cadillac Côtes de Bordeaux, Bordeaux, 91, 35
Château Maubert 2012  Cadillac Côtes de Bordeaux, Château Maubert 2012  Cadillac Côtes de Bordeau, Bordeaux, 90, 25
Domaine les Carmels 2012  Cadillac Côtes de Bordeaux, Domaine les Carmels 2012  Cadillac Côtes de Bordeau, Bordeaux, 90, 40
Château Brethous 2012  Cadillac Côtes de Bordeaux, Château Brethous 2012  Cadillac Côtes de Bordeau, Bordeaux, 89, 18
Château Tertre de Belvès 2012  Castillon Côtes de Bordeaux, Château Tertre de Belvès 2012  Castillon Côtes de Bordeau, Bordeaux, 84, 22
Château Haut Prieur 2012  Blaye Côtes de Bordeaux, Château Haut Prieur 2012  Blaye Côtes de Bordeau, Bordeaux, 83, 16
Château du Cayrou 2011 No 46  (Cahors), Cahors, Bordeaux, 90, 25
François Lurton 2013 Les Fumées Blanches Sauvignon Blanc (Vin de France), Vin de France, Bordeaux, 85, 16
Michel Vattan 2012 Cuvée Argile  (Sancerre), Sancerre, Bordeaux, 88, 25
Joseph Faiveley 2011 Fourchaume Premier Cru  (Chablis), Chablis, Bordeaux, 89, 51
Les Vignobles Gueissard 2013 Cuvée G Rosé (Côtes de Provence), Côtes de Provence, Bordeaux, 87, /A
Château Grand Corbin Manuel 2009  Saint-Émilion, Château Grand Corbin Manuel 2009  Saint-Émilio, Southwest France, 92, 30
Lionel Osmin & Cie 2011 Pied de Perdrix (Vin de Pays du Comté Tolosan), Vin de Pays du Comté Tolosan, Southwest France, 87, 13
Domaine de Terrebrune 2010 Red (Bandol), Bandol, France Other, 91, /A
Domaine Charles Baur NV Brut Sparkling (Crémant d'Alsace), Crémant d'Alsace, France Other, 85, 18
Dampierre NV Cuvée des Ambassadeurs Premier Cru Brut  (Champagne), Champagne, Loire Valley, 92, 70
Château de la Brède 2011 Cuvée Montesquieu  (Graves), Graves, Loire Valley, 90, 60
Xavier Flouret 2012 French Blonde  (Sancerre), Sancerre, Burgundy, 87, 22
Vignobles 46N118 2008 Noir 46  (Cahors), Cahors, Burgundy, 88, 14
Xavier Flouret 2011 Domaine Chatelain French Blonde  (Sancerre), Sancerre, Provence, 88, 22
Albert Bichot 2010 Domaine du Clos Frantin  (Chambertin), Chambertin, Provence, 95, /A
Joseph Drouhin 2010 Marquis de Laguiche Morgeot Premier Cru   (Chassagne-Montrachet), Chassagne-Montrachet, Burgundy, 95, 114
Albert Bichot 2010  Latricières-Chambertin, Albert Bichot 2010  Latricières-Chamberti, Burgundy, 94, /A
Albert Bichot 2010  Charmes-Chambertin, Albert Bichot 2010  Charmes-Chamberti, Burgundy, 94, /A
Albert Bichot 2010 Domaine du Pavillon  (Corton-Charlemagne), Corton-Charlemagne, Burgundy, 94, /A
Albert Bichot 2010 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée), Vosne-Romanée, Burgundy, 94, /A
Albert Bichot 2010 Clos des Maréchaudes  (Corton), Corton, Burgundy, 93, /A
Albert Bichot 2010 Les Chabiots Premier Cru  (Chambolle-Musigny), Chambolle-Musigny, Burgundy, 93, /A
Albert Bichot 2010 Domaine du Clos Frantin  (Clos de Vougeot), Clos de Vougeot, Burgundy, 93, /A
Albert Bichot 2010 Domaine du Pavillon Les Charmes Premier Cru  (Meursault), Meursault, Burgundy, 93, /A
Albert Bichot 2010 Domaine du Château Gris Premier Cru  (Nuits-St.-Georges), Nuits-St.-Georges, Burgundy, 93, /A
Albert Bichot 2010 Vide Bourse Premier Cru  (Chassagne-Montrachet), Chassagne-Montrachet, Burgundy, 92, /A
Albert Bichot 2010 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin), Gevrey-Chambertin, Burgundy, 92, /A
Albert Bichot 2010 Domaine du Pavillon Rugiens Premier Cru  (Pommard), Pommard, Burgundy, 91, /A
Albert Bichot 2010 Clos des Maréchaudes Premier Cru  (Aloxe-Corton), Aloxe-Corton, Burgundy, 91, /A
Albert Bichot 2010 Domaine du Pavillon Clos des Mouches Premier Cru  (Beaune), Beaune, Burgundy, 91, /A
Albert Bichot 2010 Domaine du Clos Frantin  (Vosne-Romanée), Vosne-Romanée, Burgundy, 90, /A
Albert Bichot 2010 Domaine du Clos Frantin Les Murots  (Gevrey-Chambertin), Gevrey-Chambertin, Burgundy, 90, /A
Albert Bichot 2010 Domaine du Pavillon Les Santenots Premier Cru  (Volnay), Volnay, Burgundy, 90, /A
Albert Bichot 2010 Clos Prieur  (Gevrey-Chambertin), Gevrey-Chambertin, Burgundy, 89, /A
Albert Bichot 2010 Les Peuillets Premier Cru  (Savigny-lès-Beaune), Savigny-lès-Beaune, Burgundy, 89, /A
Albert Bichot 2010  Saint-Aubin, Albert Bichot 2010  Saint-Aubi, Burgundy, 88, /A
Albert Bichot 2010  Savigny-lès-Beaune, Albert Bichot 2010  Savigny-lès-Beaun, Burgundy, 88, /A
Albert Bichot 2010 Clos de l'Ermitage  (Beaune), Beaune, Burgundy, 88, /A
Albert Bichot 2010 Les Charmes  (Santenay), Santenay, Burgundy, 87, /A
Albert Bichot 2010 Domaine Adélie  (Mercurey), Mercurey, Burgundy, 86, /A
Albert Bichot 2010 Secret de Famille  (Bourgogne), Bourgogne, Burgundy, 86, /A
Albert Bichot 2010 Secret de Famille  (Bourgogne), Bourgogne, Burgundy, 85, /A
Lionel Osmin & Cie 2010  Marcillac, Lionel Osmin & Cie 2010  Marcilla, Burgundy, 87, 19
Albert Bichot 2012 Nouveau  (Beaujolais-Villages), Beaujolais-Villages, Burgundy, 85, 13
Château Prieuré-Lichine 2010  Margaux, Château Prieuré-Lichine 2010  Margau, Burgundy, 93, /A
Billecart-Salmon NV Brut Sous Bois Brut  (Champagne), Champagne, Burgundy, 93, 82
Château de Maligny 2010 L'Homme Mort Premier Cru  (Chablis), Chablis, Burgundy, 91, 40
Les Vins de Vienne 2009 Taburnum Viognier (Vin de France), Vin de France, Burgundy, 90, 65
Les Vins de Vienne 2010 Viognier (Vin de Pays des Collines Rhodaniennes), Vin de Pays des Collines Rhodaniennes, Burgundy, 90, 20
Bouvet-Ladubay 2008 Taille Princesse de Gérard Depardieu Rosé Brut  (Saumur), Saumur, Southwest France, 89, /A
Château Pas du Cerf 2011 Rosé (Côtes de Provence), Côtes de Provence, Southwest France, 84, 17
Château Ponzac 2009 Maintenant  (Cahors), Cahors, Beaujolais, 87, 16
Mas du Soleilla 2008 Clot de l'Amandier La Clape Red (Coteaux du Languedoc), Coteaux du Languedoc, Beaujolais, 91, 63
Château Cabezac 2007 Belvèze Red (Minervois), Minervois, Bordeaux, 90, 30
Laurent Miquel 2007 Saga Pegot Syrah (Faugères), Faugères, Bordeaux, 92, 25
Mas Gabinèle 2009 Red (Faugères), Faugères, Languedoc-Roussillon, 90, 20
Xavier Flouret 2010 Domaine Chatelain French Blonde  (Sancerre), Sancerre, Languedoc-Roussillon, 88, /A
Les Fusionels 2008 La Rêve Red (Faugères), Faugères, Loire Valley, 86, 20
Chateau Capion 2008 Blanc White (Coteaux du Languedoc), Coteaux du Languedoc, Loire Valley, 87, 70
Xavier Flouret 2009 Domaine Chatelain French Blonde  (Sancerre), Sancerre, Languedoc-Roussillon, 87, 25
Château Couhins 2008  Pessac-Léognan, Château Couhins 2008  Pessac-Léogna, Languedoc-Roussillon, 90, /A
Château du Trignon 2007 Rasteau Red (Côtes du Rhône Villages), Côtes du Rhône Villages, Languedoc-Roussillon, 89, 25
Albert Bichot 2005 Domaine du Clos Frantin Aux Malconsorts Premier Cru  (Vosne-Romanée), Vosne-Romanée, Languedoc-Roussillon, 95, 115
Albert Bichot 2008  Bonnes-Mares, Albert Bichot 2008  Bonnes-Mare, Loire Valley, 94, /A
Albert Bichot 2006 Domaine du Clos Frantin Aux Malconsorts Premier Cru  (Vosne-Romanée), Vosne-Romanée, Loire Valley, 94, /A
Albert Bichot 2008 Les Amoureuses Premier Cru  (Chambolle-Musigny), Chambolle-Musigny, Bordeaux, 93, /A
Albert Bichot 2008 Domaine du Clos Frantin Aux Malconsorts Premier Cru  (Vosne-Romanée), Vosne-Romanée, Bordeaux, 93, /A
Albert Bichot 2008 Les Chabiots Premier Cru  (Chambolle-Musigny), Chambolle-Musigny, Rhône Valley, 92, /A
Albert Bichot 2007 Domaine du Clos Frantin Aux Malconsorts Premier Cru  (Vosne-Romanée), Vosne-Romanée, Rhône Valley, 92, /A
Henri de Villamont 2007 Les Groseilles Premier Cru  (Chambolle-Musigny), Chambolle-Musigny, Burgundy, 91, /A
Albert Bichot 2008 Les Porrets Saint-Georges Premier Cru  (Nuits-St.-Georges), Nuits-St.-Georges, Burgundy, 90, /A
Albert Bichot 2008 Aux Clous Premier Cru  (Savigny-lès-Beaune), Savigny-lès-Beaune, Burgundy, 88, /A
Albert Bichot 2008 Domaine Adélie Champs Martin Premier Cru  (Mercurey), Mercurey, Burgundy, 88, /A
Château Béard la Chapelle 2009  Saint-Émilion, Château Béard la Chapelle 2009  Saint-Émilio, Burgundy, 85, 25
Moët & Chandon 1990 Dom Pérignon Oenothèque Rosé Brut  (Champagne), Champagne, Burgundy, 97, /A
Albert Bichot 2008 Domaine du Pavillon  (Corton-Charlemagne), Corton-Charlemagne, Burgundy, 94, /A
Albert Bichot 2008 Les Perrières Premier Cru  (Puligny-Montrachet), Puligny-Montrachet, Burgundy, 93, /A
Albert Bichot 2008 Domaine du Pavillon Clos des Mouches Premier Cru  (Beaune), Beaune, Burgundy, 93, /A
Albert Bichot 2008 Domaine du Pavillon Les Charmes Premier Cru  (Meursault), Meursault, Burgundy, 92, /A
Albert Bichot 2008  Savigny-lès-Beaune, Albert Bichot 2008  Savigny-lès-Beaun, Burgundy, 88, /A
Domaine Zind-Humbrecht 2007 Herrenweg De Turckheim Riesling (Alsace), Alsace, Burgundy, 92, 50
Fournier Père et Fils 2008 Cuvée Silex  (Sancerre), Sancerre, Burgundy, 92, 40
Albert Bichot 2007 Domaine Long-Depaquit Moutonne Grand Cru  (Chablis), Chablis, Burgundy, 95, /A
Albert Bichot 2007 Domaine du Pavillon  (Corton-Charlemagne), Corton-Charlemagne, Burgundy, 93, /A
Albert Bichot 2007 Domaine Long-Depaquit Les Clos Grand Cru  (Chablis), Chablis, Burgundy, 93, /A
Albert Bichot 2007 Domaine Long-Depaquit Les Blanchots Premier Cru  (Chablis), Chablis, Alsace, 93, /A
Albert Bichot 2007 Domaine Long-Depaquit Les Vaudésirs Grand Cru  (Chablis), Chablis, Alsace, 92, /A
Albert Bichot 2007 Domaine du Pavillon Clos des Mouches Premier Cru  (Beaune), Beaune, Loire Valley, 92, /A
Albert Bichot 2007 Domaine du Pavillon Les Charmes Premier Cru  (Meursault), Meursault, Loire Valley, 92, /A
Albert Bichot 2007 Domaine Long-Depaquit Les Vaillons Premier Cru  (Chablis), Chablis, Burgundy, 92, /A
Albert Bichot 2007 Domaine Long-Depaquit Les Vaucopins Premier Cru  (Chablis), Chablis, Burgundy, 91, /A
Albert Bichot 2007 Domaine du Pavillon Clos des Maréchaudes  (Corton), Corton, Burgundy, 90, /A
Albert Bichot 2007 Domaine du Pavillon Clos des Ursulines  (Pommard), Pommard, Burgundy, 88, /A
Albert Bichot 2008 Domaine Long-Depaquit  (Chablis), Chablis, Burgundy, 85, /A
Willm 2007 Réserve Riesling (Alsace), Alsace, Burgundy, 84, 12
Xavier Flouret 2008 Domaine Chatelain French Blonde  (Sancerre), Sancerre, Loire Valley, 90, 23
Simonnet-Febvre 2007 Sauvignon de Saint-Bris  (Saint-Bris), Saint-Bris, Loire Valley, 84, 13
French Rabbit 2007 Pinot Noir (Vin de Pays d'Oc), Vin de Pays d'Oc, Burgundy, 83, 5
Tenuta Sette Ponti NV Grand Tour 1er Cru Sparkling (Champagne), Champagne, Burgundy, 87, /A
Chateau La Tour Carnet 2008 Barrel sample  (Haut-Médoc), Haut-Médoc, Languedoc-Roussillon, 86, /A
Thiénot 2000 La Vigne aux Gamins Blanc de Blancs Brut Chardonnay (Champagne), Champagne, Languedoc-Roussillon, 93, /A
Colin NV Blanche de Castille Premier Cru Blanc de Blancs Brut Chardonnay (Champagne), Champagne, Champagne, 90, 50
Château Beauregard 2006 Le Benjamin de Beauregard  (Pomerol), Pomerol, Champagne, 89, 43
Colin NV Rosé Brut  (Champagne), Champagne, Bordeaux, 88, 59
Château Perron 2007  Graves, Château Perron 2007  Grave, Bordeaux, 86, 12
Château de Carolle 2007  Graves, Château de Carolle 2007  Grave, Champagne, 86, 10
Château Roquetaillade la Grange 2007  Graves, Château Roquetaillade la Grange 2007  Grave, Champagne, 85, 13
Château Sansey 2007  Graves, Château Sansey 2007  Grave, Champagne, 84, 11
French Maid 2007 Pinot Noir (Vin de Pays d'Oc), Vin de Pays d'Oc, Champagne, 85, 13
Xavier Flouret 2007 Domaine Chatelain French Blonde  (Sancerre), Sancerre, Bordeaux, 86, 23
Château Haut Beyzac 2005 I Second Haut Beyzac  (Haut-Médoc), Haut-Médoc, Bordeaux, 89, 27
Albert Bichot 2006 Domaine Long-Depaquit Moutonne Grand Cru  (Chablis), Chablis, Champagne, 94, 90
L'Ostal Cazes 2005 Estibals Red (Minervois), Minervois, Champagne, 89, 17
Alain Brumont 2006 Le Jardin Philosophique  (Pacherenc du Vic Bilh), Pacherenc du Vic Bilh, Bordeaux, 88, 19
Xavier Flouret 2006 Domaine Chatelan French Blonde  (Sancerre), Sancerre, Bordeaux, 86, 23
Mas de Félines 2006  Picpoul de Pinet, Mas de Félines 2006  Picpoul de Pine, Languedoc-Roussillon, 85, 13
Domaine de la Noblaie 2004 Pierre de Tuf  (Chinon), Chinon, Languedoc-Roussillon, 83, /A
Château de Carolle 2006  Graves, Château de Carolle 2006  Grave, Loire Valley, 88, 9
Château Roquetaillade la Grange 2006  Graves, Château Roquetaillade la Grange 2006  Grave, Loire Valley, 88, 12
Jaillance 2004 Grande Tradition  (Clairette de Die), Clairette de Die, Bordeaux, 87, 21
Château Perron 2006  Graves, Château Perron 2006  Grave, Bordeaux, 86, /A
Château Sansey 2006  Graves, Château Sansey 2006  Grave, Bordeaux, 83, /A
Colin 2001 Grand Cru Blanc de Blancs Brut Chardonnay (Champagne), Champagne, Bordeaux, 91, /A
Colin NV Blanche de Castille Premier Cru Blanc de Blancs Brut Chardonnay (Champagne), Champagne, Rhône Valley, 90, /A
Château Sansey 2005  Graves, Château Sansey 2005  Grave, Rhône Valley, 89, /A
Château Roquetaillade la Grange 2005  Graves, Château Roquetaillade la Grange 2005  Grave, Bordeaux, 89, /A
Château de Carolle 2005  Graves, Château de Carolle 2005  Grave, Bordeaux, 87, 12
Château Perron 2005  Graves, Château Perron 2005  Grave, Bordeaux, 86, /A
Barton & Guestier 2005 Thomas Barton Reserve  (Sauternes), Sauternes, Bordeaux, 85, /A
E. Guigal 2003 Château d'Ampuis  (Côte Rôtie), Côte Rôtie, Champagne, 92, 175
Domaines Arnaud de Raignac 2003 Château de Launay  (Bordeaux), Bordeaux, Champagne, 90, 27
Chamarré NV Grande Reserve Cabernet Sauvignon (Vin de Table Francais), Vin de Table Francais, Champagne, 86, 12
Clos Dubreuil 2004  Saint-Émilion, Clos Dubreuil 2004  Saint-Émilio, Champagne, 86, /A
Abbotts 2001 Notus Syrah (Minervois), Minervois, Bordeaux, 88, 67
Gérard Bertrand 2005 Le Blanc de Villemajou White (Corbières), Corbières, Bordeaux, 88, /A
Domaine de Vaugondy NV Ph. Perdriaux Brut  (Vouvray), Vouvray, Loire Valley, 88, 12
Jaillance NV Brut  (Crémant de Bourgogne), Crémant de Bourgogne, Loire Valley, 87, 16
Jaillance 1999 Grande Réserve Brut Clairette (Crémant de Die), Crémant de Die, Burgundy, 87, 20
Ginestet 2005 French Roots Cabernet Sauvignon Cabernet Sauvignon (Vin de Pays d'Oc), Vin de Pays d'Oc, Burgundy, 86, 8
Ginestet 2004 French Roots Merlot Merlot (Vin de Pays d'Oc), Vin de Pays d'Oc, Rhône Valley, 86, 8
Ginestet 2004 French Roots Merlot/Cabernet Sauvignon  (Bordeaux), Bordeaux, Rhône Valley, 85, 10
Ginestet 2005 French Roots Chardonnay Chardonnay (Vin de Pays d'Oc), Vin de Pays d'Oc, Languedoc-Roussillon, 84, 8
Ginestet 2005 French Roots Shiraz Shiraz (Vin de Pays d'Oc), Vin de Pays d'Oc, Languedoc-Roussillon, 84, 8
French Rabbit 2005 Cabernet Sauvignon Cabernet Sauvignon (Vin de Pays d'Oc), Vin de Pays d'Oc, Languedoc-Roussillon, 83, 10
French Rabbit 2005 Merlot Merlot (Vin de Pays d'Oc), Vin de Pays d'Oc, Languedoc-Roussillon, 82, 10
Ginestet 2005 French Roots Sauvignon Sauvignon Blanc (Vin de Pays des Côtes de Gascogne), Vin de Pays des Côtes de Gascogne, Bordeaux, 82, 8
French Rabbit 2005 Pinot Noir Pinot Noir (Vin de Pays d'Oc), Vin de Pays d'Oc, Bordeaux, 81, 10
Ginestet 2004 French Roots  (Bordeaux Blanc), Bordeaux Blanc, Languedoc-Roussillon, 81, 10
French Rabbit 2005 Chardonnay Chardonnay (Vin de Pays d'Oc), Vin de Pays d'Oc, Languedoc-Roussillon, 80, 10
Château Signac 2003 Terra Amata Chusclan Red (Côtes du Rhône Villages), Côtes du Rhône Villages, Languedoc-Roussillon, 90, 21
Château Signac 2004 Terra Amata Chusclan Red (Côtes du Rhône Villages), Côtes du Rhône Villages, Languedoc-Roussillon, 90, 22
Château Signac 2004 Tradition Chusclan Red (Côtes du Rhône Villages), Côtes du Rhône Villages, Languedoc-Roussillon, 87, 16
Château Dassault 2005 Barrel sample  (Saint-Émilion), Saint-Émilion, Languedoc-Roussillon, 87, /A
Château Larose-Trintaudon 2003  Haut-Médoc, Château Larose-Trintaudon 2003  Haut-Médo, Languedoc-Roussillon, 87, /A
Charles de Fère NV Réserve French Shiraz Shiraz (Vin Mousseux), Vin Mousseux, Languedoc-Roussillon, 86, /A
