Department,Cheese,French Page,Milk,Milk Number
Aveyron,Société,http://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_%28marque%29,Sheep Milk,2
Côte-d'Or,Petit Gaugry,http://fr.wikipedia.org/wiki/Petit_Gaugry,Cow Milk,1
Aisne,Belle des champs,http://fr.wikipedia.org/wiki/Belle_des_champs,Cow Milk,1
Rhône,Arôme au vin blanc,http://fr.wikipedia.org/wiki/Ar%C3%B4me_au_vin_blanc,Cow Milk,1
Savoie,Grataron du Beaufortain,http://fr.wikipedia.org/wiki/Grataron_du_Beaufortain,Goat Milk,3
Saône-et-Loire,Autun,http://fr.wikipedia.org/wiki/Autun_%28fromage%29,Goat Milk,3
Savoie,Moelleux du Revard,http://fr.wikipedia.org/wiki/Moelleux_du_Revard,Cow Milk,1
Jura,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,Cow Milk,1
Hautes-Pyrénées,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Cow Milk,1
Yonne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,Cow Milk,1
Somme,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,Cow Milk,1
Aube,Barberey,http://fr.wikipedia.org/wiki/Barberey_%28fromage%29,Cow Milk,1
Haute-Loire,Bleu de Loudes,http://fr.wikipedia.org/wiki/Bleu_de_Loudes,Cow Milk,1
Nord,Briquette de l'Ecaillon,http://fr.wikipedia.org/wiki/Briquette_de_l%27Ecaillon,Goat Milk,3
Nord,T'chiot biloute,http://fr.wikipedia.org/wiki/T%27chiot_biloute,Cow Milk,1
Puy-de-Dôme,Fourme de Rochefort-Montagne,http://fr.wikipedia.org/wiki/Fourme_de_Rochefort-Montagne,Cow Milk,1
Réunion,Petit moka,http://fr.wikipedia.org/wiki/Petit_moka,Cow Milk,1
Puy-de-Dôme,Gaperon,http://fr.wikipedia.org/wiki/Gaperon,Cow Milk,1
Mayenne,Trappiste de Laval,http://fr.wikipedia.org/wiki/Trappiste_de_Laval,Cow Milk,1
Oise,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,Cow Milk,1
Savoie,Beaufort,http://fr.wikipedia.org/wiki/Beaufort_%28fromage%29,Cow Milk,1
Sarthe,Kiri,http://fr.wikipedia.org/wiki/Kiri_%28marque%29,Cow Milk,1
Lot,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Ariège,Le Rogallais,http://fr.wikipedia.org/wiki/Le_Rogallais,Cow Milk,1
Isère,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,Cow Milk,1
Ain,Bresse Bleu,http://fr.wikipedia.org/wiki/Bresse_Bleu,Cow Milk,1
Ain,Comté,http://fr.wikipedia.org/wiki/Comt%C3%A9_%28fromage%29,Cow Milk,1
Allier,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Goat Milk,3
Aveyron,Recuite,http://fr.wikipedia.org/wiki/Recuite,Sheep Milk,2
Cantal,Carré d'Aurillac,http://fr.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac,Cow Milk,1
Manche,Coutances,http://fr.wikipedia.org/wiki/Coutances_%28marque%29,Cow Milk,1
Nord,Carré du Vinage,http://fr.wikipedia.org/wiki/Carr%C3%A9_du_Vinage,Cow Milk,1
Pyrénées-Atlantiques,Tomette de Sheep Milk,http://fr.wikipedia.org/wiki/Tomette_de_Sheep Milk,Sheep Milk,2
Savoie,Bleu de Sainte-Foy,http://fr.wikipedia.org/wiki/Bleu_de_Sainte-Foy,Cow Milk,1
Seine-et-Marne,Fontainebleau,http://fr.wikipedia.org/wiki/Fontainebleau_%28dessert%29,Cow Milk,1
Val-de-Marne,Délice de Saint-Cyr,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_Saint-Cyr,Cow Milk,1
Mayenne,Chaussée aux moines,http://fr.wikipedia.org/wiki/Chauss%C3%A9e_aux_moines,Cow Milk,1
Vienne,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Goat Milk,3
Aveyron,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,Cow Milk,1
Hautes-Pyrénées,Ossau-iraty,http://fr.wikipedia.org/wiki/Ossau-iraty,Sheep Milk,2
Aveyron,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,Cow Milk,1
Allier,Chambérat,http://fr.wikipedia.org/wiki/Chamb%C3%A9rat_%28fromage%29,Cow Milk,1
Indre-et-Loire,Couronne Lochoise,http://fr.wikipedia.org/wiki/Couronne_Lochoise,Goat Milk,3
Lozère,Le Fédou,http://fr.wikipedia.org/wiki/Le_F%C3%A9dou,Sheep Milk,2
Nord,Tome de Cambrai,http://fr.wikipedia.org/wiki/Tome_de_Cambrai,Cow Milk,1
Réunion,Cap Noir,http://fr.wikipedia.org/wiki/Cap_Noir_%28fromage%29,Cow Milk,1
Savoie,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,Cow Milk,1
Savoie,Tomme forte de Savoie,http://fr.wikipedia.org/wiki/Tomme_forte_de_Savoie,Cow Milk,1
Ain,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Aude,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Cow Milk,1
Puy-de-Dôme,Roue de Ris,http://fr.wikipedia.org/wiki/Roue_de_Ris,Sheep Milk,2
Aveyron,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,Cow Milk,1
Mayenne,Bons Mayennais,http://fr.wikipedia.org/wiki/Bons_Mayennais,Cow Milk,1
Puy-de-Dôme,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,Cow Milk,1
Haute-Saône,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Jura,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Indre,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Goat Milk,3
Puy-de-Dôme,Fourme d'Ambert,http://fr.wikipedia.org/wiki/Fourme_d%27Ambert,Cow Milk,1
Charente,Chavroux,http://fr.wikipedia.org/wiki/Chavroux,Goat Milk,3
Bas-Rhin,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Nord,Boulet de Cassel,http://fr.wikipedia.org/wiki/Boulet_de_Cassel,Cow Milk,1
Haute-Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Cow Milk,1
Aisne,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,Cow Milk,1
Ardèche,Saint-félicien,http://fr.wikipedia.org/wiki/Saint-f%C3%A9licien_%28fromage_de_l%27Ard%C3%A8che%29,Cow Milk,1
Aveyron,Lou Pérac,http://fr.wikipedia.org/wiki/Lou_P%C3%A9rac,Sheep Milk,2
Eure,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,Cow Milk,1
Loiret,Pithiviers au foin,http://fr.wikipedia.org/wiki/Pithiviers_au_foin,Cow Milk,1
Orne,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,Cow Milk,1
Savoie,Tome des Bauges,http://fr.wikipedia.org/wiki/Tome_des_Bauges,Cow Milk,1
Gard,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,Goat Milk,3
Ain,Carré Frais,http://fr.wikipedia.org/wiki/Carr%C3%A9_Frais,Cow Milk,1
Nord,Le Rouchi à l'échalote,http://fr.wikipedia.org/wiki/Le_Rouchi_%C3%A0_l%27%C3%A9chalote,Cow Milk,1
Pyrénées-Atlantiques,Kaïkou,http://fr.wikipedia.org/wiki/Ka%C3%AFkou,Sheep Milk,2
Réunion,La Fournaise,http://fr.wikipedia.org/wiki/La_Fournaise_%28fromage%29,Cow Milk,1
Savoie,Abondance,http://fr.wikipedia.org/wiki/Abondance_%28fromage%29,Cow Milk,1
Puy-de-Dôme,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Indre,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Goat Milk,3
Pyrénées-Atlantiques,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Cow Milk,1
Cantal,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,Cow Milk,1
Territoire de Belfort,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Saône-et-Loire,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,Cow Milk,1
Cantal,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,Goat Milk,2
Ain,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,Cow Milk,1
Meurthe-et-Moselle,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Morbihan,Trappiste de Campénéac,http://fr.wikipedia.org/wiki/Trappiste_de_Camp%C3%A9n%C3%A9ac,Cow Milk,1
Côte-d'Or,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,Cow Milk,1
Ardèche,Goat Milkton,http://fr.wikipedia.org/wiki/Ch%C3%A8vreton,Goat Milk,3
Calvados,Carré de Bonneville,http://fr.wikipedia.org/wiki/Carr%C3%A9_de_Bonneville,Cow Milk,1
Morbihan,Abbaye de la Joie Notre-Dame,http://fr.wikipedia.org/wiki/Abbaye_de_la_Joie_Notre-Dame_%28fromage%29,Cow Milk,1
Pas-de-Calais,Trappiste de Belval,http://fr.wikipedia.org/wiki/Trappiste_de_Belval,Cow Milk,1
Savoie,Persillé du Mont-Cenis,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Mont-Cenis,Goat Milk,3
Sarthe,Cousteron,http://fr.wikipedia.org/wiki/Cousteron,Cow Milk,1
Cantal,Fromage de Pays,http://fr.wikipedia.org/wiki/Fromage_de_Pays,Cow Milk,1
Corrèze,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Côte-d'Or,Abbaye de Cîteaux,http://fr.wikipedia.org/wiki/Abbaye_de_C%C3%AEteaux_%28marque%29,Cow Milk,1
Aveyron,Caillé,http://fr.wikipedia.org/wiki/Caill%C3%A9,Cow Milk,1
Côte-d'Or,Affidélice,http://fr.wikipedia.org/wiki/Affid%C3%A9lice,Cow Milk,1
Pas-de-Calais,Vieux Samer,http://fr.wikipedia.org/wiki/Vieux_Samer,Cow Milk,1
Pyrénées-Atlantiques,Saint Albray,http://fr.wikipedia.org/wiki/Saint_Albray,Cow Milk,1
Saône-et-Loire,Montrachet,http://fr.wikipedia.org/wiki/Montrachet_%28marque%29,Goat Milk,3
Cantal,Salers,http://fr.wikipedia.org/wiki/Salers_%28fromage%29,Cow Milk,1
Orne,Fourmagée,http://fr.wikipedia.org/wiki/Fourmag%C3%A9e,Cow Milk,1
Charente-Maritime,Tricorne de Marans,http://fr.wikipedia.org/wiki/Tricorne_de_Marans,Sheep Milk,2
Landes,Amou,http://fr.wikipedia.org/wiki/Amou_%28fromage%29,Sheep Milk,2
Pyrénées-Atlantiques,Le Bleu des Basques,http://fr.wikipedia.org/wiki/Le_Bleu_des_Basques,Sheep Milk,2
Rhône,La Pierre Dorée,http://fr.wikipedia.org/wiki/La_Pierre_Dor%C3%A9e,Goat Milk,3
Savoie,Tomme blanche,http://fr.wikipedia.org/wiki/Tomme_blanche,Cow Milk,1
Seine-et-Marne,Gratte-Paille,http://fr.wikipedia.org/wiki/Gratte-Paille,Cow Milk,1
Puy-de-Dôme,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,Cow Milk,1
Aube,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Cow Milk,1
Loire,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,Cow Milk,1
Cher,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Goat Milk,3
Haute-Loire,Montbriac,http://fr.wikipedia.org/wiki/Montbriac,Cow Milk,1
Hautes-Alpes,Tome du Champsaur,http://fr.wikipedia.org/wiki/Tome_du_Champsaur,Cow Milk,1
Indre,Pouligny-saint-pierre,http://fr.wikipedia.org/wiki/Pouligny-saint-pierre_%28fromage%29,Goat Milk,3
Mayenne,Port-Salut,http://fr.wikipedia.org/wiki/Port-Salut_%28marque%29,Cow Milk,1
Savoie,Avalin,http://fr.wikipedia.org/wiki/Avalin,Cow Milk,1
Saône-et-Loire,Bouton de Culotte,http://fr.wikipedia.org/wiki/Bouton_de_Culotte,Goat Milk,3
Seine-et-Marne,Brie de Montereau,http://fr.wikipedia.org/wiki/Brie_de_Montereau,Cow Milk,1
Orne,Le Rustique,http://fr.wikipedia.org/wiki/Le_Rustique,Cow Milk,1
Indre-et-Loire,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Goat Milk,3
Ain,Ramequin,http://fr.wikipedia.org/wiki/Ramequin_%28fromage%29,Cow Milk,1
Saône-et-Loire,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Loir-et-Cher,Selles-sur-cher,http://fr.wikipedia.org/wiki/Selles-sur-cher_%28fromage%29,Goat Milk,3
Hautes-Pyrénées,Barousse,http://fr.wikipedia.org/wiki/Barousse_%28fromage%29,Sheep Milk,2
Haute-Loire,Saint Agur,http://fr.wikipedia.org/wiki/Saint_Agur,Cow Milk,1
Lot,Bleu du Quercy,http://fr.wikipedia.org/wiki/Bleu_du_Quercy,Cow Milk,1
Nord,Larron d'Ors,http://fr.wikipedia.org/wiki/Larron_d%27Ors,Cow Milk,1
Réunion,Piton des Neiges,http://fr.wikipedia.org/wiki/Piton_des_Neiges_%28fromage%29,Cow Milk,1
Réunion,Fromage des Plaines,http://fr.wikipedia.org/wiki/Fromage_des_Plaines,Cow Milk,1
Drôme,Picodon,http://fr.wikipedia.org/wiki/Picodon,Goat Milk,3
Haute-Marne,Langres,http://fr.wikipedia.org/wiki/Langres_%28fromage%29,Cow Milk,1
Rhône,Arôme de Lyon,http://fr.wikipedia.org/wiki/Ar%C3%B4me_de_Lyon,Cow Milk,1
Jura,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,Cow Milk,1
Nord,Mimolette,http://fr.wikipedia.org/wiki/Mimolette,Cow Milk,1
Charente-Maritime,Jonchée,http://fr.wikipedia.org/wiki/Jonch%C3%A9e_%28fromage%29,Cow Milk,1
Drôme,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,Cow Milk,1
Haute-Loire,Tomme de Montagne,http://fr.wikipedia.org/wiki/Tomme_de_Montagne,Cow Milk,1
Isère,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Puy-de-Dôme,Bleu de Laqueuille,http://fr.wikipedia.org/wiki/Bleu_de_Laqueuille,Cow Milk,1
Réunion,Délice de la Sicalait,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_la_Sicalait,Cow Milk,1
Réunion,La Petite Raclette,http://fr.wikipedia.org/wiki/La_Petite_Raclette,Cow Milk,1
Vienne,Mottin charentais,http://fr.wikipedia.org/wiki/Mottin_charentais,Cow Milk,1
Orne,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Cow Milk,1
Dordogne,Trappe Échourgnac,http://fr.wikipedia.org/wiki/Trappe_%C3%89chourgnac,Cow Milk,1
Seine-et-Marne,Brie de Nangis,http://fr.wikipedia.org/wiki/Brie_de_Nangis,Cow Milk,1
Loire,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,Goat Milk,3
Vosges,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Pyrénées-Atlantiques,P'tit Basque,http://fr.wikipedia.org/wiki/P%27tit_Basque,Sheep Milk,2
Seine-Maritime,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Cow Milk,1
Seine-et-Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Cow Milk,1
Aveyron,Roquefort,http://fr.wikipedia.org/wiki/Roquefort_%28fromage%29,Sheep Milk,2
Allier,Bessay,http://fr.wikipedia.org/wiki/Bessay_%28fromage%29,Cow Milk,1
Allier,Grand tomachon,http://fr.wikipedia.org/wiki/Grand_tomachon,Cow Milk,1
Eure-et-Loir,Voves cendré,http://fr.wikipedia.org/wiki/Voves_cendr%C3%A9,Cow Milk,1
Hautes-Alpes,Bleu du Dévoluy,http://fr.wikipedia.org/wiki/Bleu_du_D%C3%A9voluy,Cow Milk,1
Hautes-Alpes,Pic du Vieux Chaillol,http://fr.wikipedia.org/wiki/Pic_du_Vieux_Chaillol_%28fromage%29,Cow Milk,1
Loire-Atlantique,Chandamour,http://fr.wikipedia.org/wiki/Chandamour,Cow Milk,1
Moselle,Tomme de Gorze,http://fr.wikipedia.org/wiki/Tomme_de_Gorze,Cow Milk,1
Moselle,Tourrée de l'Aubier,http://fr.wikipedia.org/wiki/Tourr%C3%A9e_de_l%27Aubier,Cow Milk,1
Pas-de-Calais,Crémet du Cap Blanc Nez,http://fr.wikipedia.org/wiki/Cr%C3%A9met_du_Cap_Blanc_Nez,Cow Milk,1
Pyrénées-Atlantiques,Abbaye de Belloc,http://fr.wikipedia.org/wiki/Abbaye_de_Belloc_%28fromage%29,Sheep Milk,2
Pyrénées-Atlantiques,Gaztanbera,http://fr.wikipedia.org/wiki/Gaztanbera,Sheep Milk,2
Savoie,Fromage aux noix,http://fr.wikipedia.org/wiki/Fromage_aux_noix,Cow Milk,1
Yonne,Suprême des Ducs,http://fr.wikipedia.org/wiki/Supr%C3%AAme_des_Ducs,Cow Milk,1
Loiret,Crottin de Chavignol,http://fr.wikipedia.org/wiki/Crottin_de_Chavignol,Goat Milk,3
Yonne,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,Cow Milk,1