department,cheese,milk,milk_number
Drôme,Pétafine,Goat Milk,3
Loire-Atlantique,Le Curé Nantais,Cow Milk,1
Loiret,Frinault,Cow Milk,1
Savoie,Tomme de Savoie,Cow Milk,1
Seine-Maritime,Bouille,Cow Milk,1
Côte-d'Or,Gruyère français,Cow Milk,1
Eure,Pont-l'évêque,Cow Milk,1
Tarn,Pérail,Sheep Milk,2
Manche,Pont-l'évêque,Cow Milk,1
Dordogne,Chaumes,Cow Milk,1
Jura,Chevret du Haut-Jura,Cow Milk,1
Doubs,Morbier,Cow Milk,1
Ain,Tracle,Cow Milk,1
Ardèche,Rogeret des Cévennes,Goat Milk,3
Aveyron,Rebarbe,Sheep Milk,2
Corrèze,Ovalie,Sheep Milk,2
Côte-d'Or,L'Ami du Chambertin,Cow Milk,1
Haute-Corse,A Filetta,Sheep Milk,2
Hautes-Alpes,Saint-laurent,Cow Milk,1
Loire-Atlantique,Saint-gildas-des-bois,Cow Milk,1
Loiret,Pannes cendré,Cow Milk,1
Nord,Dauphin,Cow Milk,1
Rhône,Tarare,Cow Milk,1
Savoie,Chevrotin,Goat Milk,2
Savoie,Persillé des Aravis,Goat Milk,2
Cantal,Bleu d'Auvergne,Cow Milk,1
Aveyron,Gabriel Coulet,Sheep Milk,3
Marne,Brie de Meaux,Cow Milk,1
Cantal,Cantal,Cow Milk,1
Savoie,Tomme crayeuse,Cow Milk,1
Haute-Marne,Époisses,Cow Milk,1
Ain,Emmental de Savoie,Cow Milk,1
Savoie,Reblochon,Cow Milk,1
Lozère,Tome fraîche,Cow Milk,1
Hautes-Alpes,Aiguille d'Orcières,Cow Milk,1
Marne,Moulin de Gaye,Cow Milk,1
Puy-de-Dôme,Goat Milkton,Goat Milk,3
Savoie,Beaumont,Cow Milk,1
Savoie,Bleu de Termignon,Cow Milk,1
Morbihan,Tome de Rhuys,Cow Milk,1
Lozère,Lévéjac,Sheep Milk,2
Mayenne,Vieux pané,Cow Milk,1
Nord,Boulette d'Avesnes,Cow Milk,1
Allier,Le Délice du Chalet,Cow Milk,1
Ardennes,Rocroi,Cow Milk,1
Cher,Santranges-sancerre,Goat Milk,3
Corrèze,Pavé corrézien,Cow Milk,1
Indre,Arthon,Goat Milk,3
Loiret,Chécy,Cow Milk,1
Pas-de-Calais,Vieux Boulogne,Cow Milk,1
Rhône,Charolais,Goat Milk,3
Cantal,Tome fraîche,Cow Milk,1
Charente-Maritime,Caillebotte,Cow Milk,1
Loire,Fromager d'Affinois,Cow Milk,1
Maine-et-Loire,Chaussée aux moines,Cow Milk,1
Moselle,Munster,Cow Milk,1
Ille-et-Vilaine,Petit Billy,Goat Milk,3
Charente,Taupinette,Goat Milk,3
Aveyron,Pérail,Sheep Milk,2
Savoie,Thollon,Cow Milk,1
Oise,Tomme au foin,Cow Milk,1
Haute-Loire,Fromage aux artisons,Cow Milk,1
Ardèche,Picodon,Goat Milk,3
Lot,Cabécou,Goat Milk,3
Vosges,Munster,Cow Milk,1
Calvados,Pavé d'Auge,Cow Milk,1
Corrèze,Truffe de Ventadour,Goat Milk,3
Haute-Loire,Bleu de Costaros,Cow Milk,1
Indre,Tournon-saint-pierre,Goat Milk,3
Pas-de-Calais,Pavé aux Algues de Samer,Cow Milk,1
Yonne,Saint-florentin,Cow Milk,1
Savoie,Gruyère français,Cow Milk,1
Drôme,Foudjou,Goat Milk,3
Ain,Pourri bressan,Cow Milk,1
Ariège,Le Moulis,Sheep Milk,2
Isère,Bleu de Lavaldens,Cow Milk,1
Seine-et-Marne,Coulommiers,Cow Milk,1
Pyrénées-Atlantiques,Ossau-iraty,Sheep Milk,2
Aveyron,Bleu d'Auvergne,Cow Milk,1
Doubs,Gruyère français,Cow Milk,1
Ain,Bleu de Gex,Cow Milk,1
Lozère,Laguiole,Cow Milk,1
Haute-Loire,Rochebaron,Cow Milk,1
Gard,Picodon,Goat Milk,3
Indre-et-Loire,Valençay,Goat Milk,3
Vaucluse,Picodon,Goat Milk,3
Ain,Clon,Cow Milk,1
Dordogne,St Môret,Cow Milk,1
Haute-Saône,Gruyère français,Cow Milk,1
Hautes-Alpes,Persillé du col Bayard,Cow Milk,1
Loire-Atlantique,Gourmelin,Cow Milk,1
Réunion,Mont Bébour,Cow Milk,1
Réunion,Piton Maïdo,Cow Milk,1
Rhône,Rigotte de Condrieu,Goat Milk,3
Cantal,Saint-nectaire,Cow Milk,1
Haute-Marne,Gruyère français,Cow Milk,1
Lozère,Pélardon,Goat Milk,3
Aube,Brie de Melun,Cow Milk,1
Ain,Chevret,Goat Milk,3
Jura,Pérassu,Cow Milk,1
Lozère,Rebarbe,Sheep Milk,2
Réunion,Takamaka,Goat Milk,3
Savoie,Cow Milkrin des Bauges,Cow Milk,1
Saône-et-Loire,Mâconnais,Goat Milk,3
Seine-Maritime,Neufchâtel,Cow Milk,1
Aveyron,Cabécou,Goat Milk,3
Aube,Soumaintrain,Cow Milk,1
Savoie,Raclette,Cow Milk,1
Loir-et-Cher,Valençay,Goat Milk,3
Aude,Pélardon,Goat Milk,3
Ariège,Bethmale,Cow Milk,1
Nord,Rollot,Cow Milk,1
Loir-et-Cher,Le Petit Trôo,Cow Milk,1
Puy-de-Dôme,Le Lavort,Sheep Milk,2
Pyrénées-Atlantiques,Ardi-Gasna,Sheep Milk,2
Rhône,Mâconnais,Goat Milk,3
Yonne,Boulette de la Pierre-qui-Vire,Cow Milk,1
Lozère,Bleu des Causses,Cow Milk,1
Tarn,Pélardon,Goat Milk,3
Cher,Faisselle,Cow Milk,1
Yonne,Brie de Melun,Cow Milk,1
Haute-Garonne,Cathare,Goat Milk,3
Aube,Chaource,Cow Milk,1
Haute-Garonne,Tomme des Pyrénées,Cow Milk,1
Cher,Crottin de Chavignol,Goat Milk,3
Territoire de Belfort,Gruyère français,Cow Milk,1
Ariège,Montségur,Cow Milk,1
Cantal,Bleu de Thiézac,Cow Milk,1
Jura,La Cow Milk qui rit,Cow Milk,1
Loiret,Patay,Cow Milk,1
Lot,Rocamadour,Goat Milk,3
Eure,Le Pavé du Plessis,Cow Milk,1
Lozère,Persillé du Malzieu,Sheep Milk,2
Nord,Baguette paysanne à la moutarde,Cow Milk,1
Pas-de-Calais,Ch'ti Crémeux,Cow Milk,1
Saône-et-Loire,Charolais,Goat Milk,3
Haut-Rhin,Munster,Cow Milk,1
Pas-de-Calais,Rollot,Cow Milk,1
Haute-Corse,Brin d'amour,Sheep Milk,2
Savoie,Abbaye de Tamié,Cow Milk,1
Ain,Chevret du Haut-Jura,Cow Milk,1
Ardèche,Le Coucouron,Cow Milk,1
Loire,Charolais,Goat Milk,3
Loire,Rigotte de Pélussin,Goat Milk,3
Loiret,Olivet,Cow Milk,1
Pyrénées-Atlantiques,Le Brebiou,Sheep Milk,2
Réunion,Notre Dame de la Paix,Cow Milk,1
Réunion,Ti frais des Hauts,Cow Milk,1
Savoie,Persillé de Tignes,Goat Milk,3
Yonne,Abbaye de la Pierre-qui-Vire,Cow Milk,1
Côte-d'Or,Le Trou du Cru,Cow Milk,1
Pyrénées-Atlantiques,Etorki,Sheep Milk,2
Loir-et-Cher,Sainte-Maure de Touraine,Goat Milk,3
Hérault,Pélardon,Goat Milk,3
Ariège,Tomme des Pyrénées,Cow Milk,1
Nord,Mont des Cats,Cow Milk,1
Mayenne,Pont-l'évêque,Cow Milk,1
Pas-de-Calais,Fort de Béthune,Cow Milk,1
Lozère,Bleu d'Auvergne,Cow Milk,1
Haute-Marne,Caprice des Dieux,Cow Milk,1
Seine-et-Marne,Brie de Melun,Cow Milk,1
Côte-d'Or,Aisy cendré,Cow Milk,1
Savoie,Brézain,Cow Milk,1
Haute-Corse,Corsica,Sheep Milk,2
Pas-de-Calais,Le Sire de Créquy,Cow Milk,1
Savoie,Bleu du Mont-Cenis,Cow Milk,1
Haute-Loire,Bleu d'Auvergne,Cow Milk,1
Calvados,Pont-l'évêque,Cow Milk,1
Yonne,Boule des moines,Cow Milk,1
Seine-Maritime,Le Graval,Cow Milk,1
Aveyron,Société,Sheep Milk,2
Côte-d'Or,Petit Gaugry,Cow Milk,1
Aisne,Belle des champs,Cow Milk,1
Rhône,Arôme au vin blanc,Cow Milk,1
Savoie,Grataron du Beaufortain,Goat Milk,3
Saône-et-Loire,Autun,Goat Milk,3
Savoie,Moelleux du Revard,Cow Milk,1
Jura,Bleu de Gex,Cow Milk,1
Hautes-Pyrénées,Tomme des Pyrénées,Cow Milk,1
Yonne,Époisses,Cow Milk,1
Somme,Rollot,Cow Milk,1
Aube,Barberey,Cow Milk,1
Haute-Loire,Bleu de Loudes,Cow Milk,1
Nord,Briquette de l'Ecaillon,Goat Milk,3
Nord,T'chiot biloute,Cow Milk,1
Puy-de-Dôme,Fourme de Rochefort-Montagne,Cow Milk,1
Réunion,Petit moka,Cow Milk,1
Puy-de-Dôme,Gaperon,Cow Milk,1
Mayenne,Trappiste de Laval,Cow Milk,1
Oise,Neufchâtel,Cow Milk,1
Savoie,Beaufort,Cow Milk,1
Sarthe,Kiri,Cow Milk,1
Lot,Bleu d'Auvergne,Cow Milk,1
Ariège,Le Rogallais,Cow Milk,1
Isère,Bleu du Vercors-Sassenage,Cow Milk,1
Ain,Bresse Bleu,Cow Milk,1
Ain,Comté,Cow Milk,1
Allier,Charolais,Goat Milk,3
Aveyron,Recuite,Sheep Milk,2
Cantal,Carré d'Aurillac,Cow Milk,1
Manche,Coutances,Cow Milk,1
Nord,Carré du Vinage,Cow Milk,1
Pyrénées-Atlantiques,Tomette de Sheep Milk,Sheep Milk,2
Savoie,Bleu de Sainte-Foy,Cow Milk,1
Seine-et-Marne,Fontainebleau,Cow Milk,1
Val-de-Marne,Délice de Saint-Cyr,Cow Milk,1
Mayenne,Chaussée aux moines,Cow Milk,1
Vienne,Sainte-Maure de Touraine,Goat Milk,3
Aveyron,Laguiole,Cow Milk,1
Hautes-Pyrénées,Ossau-iraty,Sheep Milk,2
Aveyron,Tome fraîche,Cow Milk,1
Allier,Chambérat,Cow Milk,1
Indre-et-Loire,Couronne Lochoise,Goat Milk,3
Lozère,Le Fédou,Sheep Milk,2
Nord,Tome de Cambrai,Cow Milk,1
Réunion,Cap Noir,Cow Milk,1
Savoie,Emmental de Savoie,Cow Milk,1
Savoie,Tomme forte de Savoie,Cow Milk,1
Ain,Gruyère français,Cow Milk,1
Aude,Tomme des Pyrénées,Cow Milk,1
Puy-de-Dôme,Roue de Ris,Sheep Milk,2
Aveyron,Bleu des Causses,Cow Milk,1
Mayenne,Bons Mayennais,Cow Milk,1
Puy-de-Dôme,Saint-nectaire,Cow Milk,1
Haute-Saône,Munster,Cow Milk,1
Jura,Gruyère français,Cow Milk,1
Indre,Valençay,Goat Milk,3
Puy-de-Dôme,Fourme d'Ambert,Cow Milk,1
Charente,Chavroux,Goat Milk,3
Bas-Rhin,Munster,Cow Milk,1
Nord,Boulet de Cassel,Cow Milk,1
Haute-Marne,Brie de Meaux,Cow Milk,1
Aisne,Dauphin,Cow Milk,1
Ardèche,Saint-félicien,Cow Milk,1
Aveyron,Lou Pérac,Sheep Milk,2
Eure,Pavé d'Auge,Cow Milk,1
Loiret,Pithiviers au foin,Cow Milk,1
Orne,Pavé d'Auge,Cow Milk,1
Savoie,Tome des Bauges,Cow Milk,1
Gard,Pélardon,Goat Milk,3
Ain,Carré Frais,Cow Milk,1
Nord,Le Rouchi à l'échalote,Cow Milk,1
Pyrénées-Atlantiques,Kaïkou,Sheep Milk,2
Réunion,La Fournaise,Cow Milk,1
Savoie,Abondance,Cow Milk,1
Puy-de-Dôme,Bleu d'Auvergne,Cow Milk,1
Indre,Sainte-Maure de Touraine,Goat Milk,3
Pyrénées-Atlantiques,Tomme des Pyrénées,Cow Milk,1
Cantal,Laguiole,Cow Milk,1
Territoire de Belfort,Munster,Cow Milk,1
Saône-et-Loire,Morbier,Cow Milk,1
Cantal,Cabécou,Goat Milk,2
Ain,Morbier,Cow Milk,1
Meurthe-et-Moselle,Munster,Cow Milk,1
Morbihan,Trappiste de Campénéac,Cow Milk,1
Côte-d'Or,Époisses,Cow Milk,1
Ardèche,Goat Milkton,Goat Milk,3
Calvados,Carré de Bonneville,Cow Milk,1
Morbihan,Abbaye de la Joie Notre-Dame,Cow Milk,1
Pas-de-Calais,Trappiste de Belval,Cow Milk,1
Savoie,Persillé du Mont-Cenis,Goat Milk,3
Sarthe,Cousteron,Cow Milk,1
Cantal,Fromage de Pays,Cow Milk,1
Corrèze,Bleu d'Auvergne,Cow Milk,1
Côte-d'Or,Abbaye de Cîteaux,Cow Milk,1
Aveyron,Caillé,Cow Milk,1
Côte-d'Or,Affidélice,Cow Milk,1
Pas-de-Calais,Vieux Samer,Cow Milk,1
Pyrénées-Atlantiques,Saint Albray,Cow Milk,1
Saône-et-Loire,Montrachet,Goat Milk,3
Cantal,Salers,Cow Milk,1
Orne,Fourmagée,Cow Milk,1
Charente-Maritime,Tricorne de Marans,Sheep Milk,2
Landes,Amou,Sheep Milk,2
Pyrénées-Atlantiques,Le Bleu des Basques,Sheep Milk,2
Rhône,La Pierre Dorée,Goat Milk,3
Savoie,Tomme blanche,Cow Milk,1
Seine-et-Marne,Gratte-Paille,Cow Milk,1
Puy-de-Dôme,Fourme de Montbrison,Cow Milk,1
Aube,Brie de Meaux,Cow Milk,1
Loire,Fourme de Montbrison,Cow Milk,1
Cher,Valençay,Goat Milk,3
Haute-Loire,Montbriac,Cow Milk,1
Hautes-Alpes,Tome du Champsaur,Cow Milk,1
Indre,Pouligny-saint-pierre,Goat Milk,3
Mayenne,Port-Salut,Cow Milk,1
Savoie,Avalin,Cow Milk,1
Saône-et-Loire,Bouton de Culotte,Goat Milk,3
Seine-et-Marne,Brie de Montereau,Cow Milk,1
Orne,Le Rustique,Cow Milk,1
Indre-et-Loire,Sainte-Maure de Touraine,Goat Milk,3
Ain,Ramequin,Cow Milk,1
Saône-et-Loire,Gruyère français,Cow Milk,1
Loir-et-Cher,Selles-sur-cher,Goat Milk,3
Hautes-Pyrénées,Barousse,Sheep Milk,2
Haute-Loire,Saint Agur,Cow Milk,1
Lot,Bleu du Quercy,Cow Milk,1
Nord,Larron d'Ors,Cow Milk,1
Réunion,Piton des Neiges,Cow Milk,1
Réunion,Fromage des Plaines,Cow Milk,1
Drôme,Picodon,Goat Milk,3
Haute-Marne,Langres,Cow Milk,1
Rhône,Arôme de Lyon,Cow Milk,1
Jura,Morbier,Cow Milk,1
Nord,Mimolette,Cow Milk,1
Charente-Maritime,Jonchée,Cow Milk,1
Drôme,Bleu du Vercors-Sassenage,Cow Milk,1
Haute-Loire,Tomme de Montagne,Cow Milk,1
Isère,Gruyère français,Cow Milk,1
Puy-de-Dôme,Bleu de Laqueuille,Cow Milk,1
Réunion,Délice de la Sicalait,Cow Milk,1
Réunion,La Petite Raclette,Cow Milk,1
Vienne,Mottin charentais,Cow Milk,1
Orne,Pont-l'évêque,Cow Milk,1
Dordogne,Trappe Échourgnac,Cow Milk,1
Seine-et-Marne,Brie de Nangis,Cow Milk,1
Loire,Rigotte de Condrieu,Goat Milk,3
Vosges,Gruyère français,Cow Milk,1
Pyrénées-Atlantiques,P'tit Basque,Sheep Milk,2
Seine-Maritime,Pont-l'évêque,Cow Milk,1
Seine-et-Marne,Brie de Meaux,Cow Milk,1
Aveyron,Roquefort,Sheep Milk,2
Allier,Bessay,Cow Milk,1
Allier,Grand tomachon,Cow Milk,1
Eure-et-Loir,Voves cendré,Cow Milk,1
Hautes-Alpes,Bleu du Dévoluy,Cow Milk,1
Hautes-Alpes,Pic du Vieux Chaillol,Cow Milk,1
Loire-Atlantique,Chandamour,Cow Milk,1
Moselle,Tomme de Gorze,Cow Milk,1
Moselle,Tourrée de l'Aubier,Cow Milk,1
Pas-de-Calais,Crémet du Cap Blanc Nez,Cow Milk,1
Pyrénées-Atlantiques,Abbaye de Belloc,Sheep Milk,2
Pyrénées-Atlantiques,Gaztanbera,Sheep Milk,2
Savoie,Fromage aux noix,Cow Milk,1
Yonne,Suprême des Ducs,Cow Milk,1
Loiret,Crottin de Chavignol,Goat Milk,3
Yonne,Soumaintrain,Cow Milk,1
